,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,n_articles
52,"13 dagen tot Brexit: Lagerhuis zegt achtmaal nee, opnieuw nederlaag May",May vraagt EU om Brexit uit te stellen tot 30 juni,"Premier May lijdt derde nederlaag, 'no deal-Brexit' dreigt op 12 april",Theresa May zoekt hulp van Labour bij Brexit-crisis,May vergadert vandaag vijf uur lang met kabinet over brexit-opties,"Gesprek May en Corbyn constructief, Lagerhuis verwerpt no-dealbrexit",Een parlementaire coup of staatkundig vandalisme? De gevolgen van de bizarre No Deal-wet,"Wordt 12 april nu weer 30 juni? ‘Londen durft niet te springen, Brussel niet te duwen’",Juncker: ons geduld met de Britten raakt op,Stemming over Brexit-akkoord onzeker na waarschuwing Lagerhuisvoorzitter,"May wil uitstel Brexit tot akkoord is bereikt, zoekt samenwerking met oppositie",Blok: Voorkomen no deal-brexit belangrijker dan uittredingsdatum Britten,Brits Lagerhuis nog steeds diep verdeeld over alternatieve Brexit-plannen,‘EU-president wil Londen flexibel uitstel van twaalf maanden bieden voor brexit’,May vraagt opnieuw uitstel brexit en start voorbereidingen Europese verkiezingen,Het Lagerhuis zal een uitgang uit het Brexit-doolhof moeten vinden: hier de zes mogelijke paden op een rijtje,'EU-president wil Verenigd Koninkrijk flexibel uitstel voor Brexit bieden',May stapt op als brexit-deal wordt goedgekeurd maar zelfopoffering lijkt overbodig,Rutte: Kans op no deal-brexit blijft reëel,Britse regering voert 'productief' overleg met oppositie over Brexit,"Brexitchaos compleet, Lagerhuis verwerpt May's deal voor derde keer",Lagerhuis trekt brexit-initiatief naar zich toe,Lagerhuis stemt opnieuw: toch boterzachte brexit? Of een nieuw referendum?,"Rutte: Uitstelverzoek brexit roept veel vragen op, de bal ligt in Londen",Hoofdonderhandelaar EU: 'No deal-Brexit met de dag waarschijnlijker',Brits Lagerhuis vindt weer geen meerderheid voor alternatief Brexit-plan,"Theresa May offert zichzelf op voor ‘haar’ Brexit, maar krijgt het Lagerhuis niet mee",May wil opnieuw uitstel vragen voor brexit,Door nieuwe Brexitstemming nadert (alweer) het uur U voor premier Theresa May,Oppositiepartij Labour 'teleurgesteld' na Brexit-gesprekken met May,Optimisme over brexitgesprekken met oppositiepartij Labour,Brussel: na acht keer ‘no’ nu een ‘yes’ nodig,May wil haast maken met samenwerking Labour voor Brexit-deal,Van Ierse grens tot reisjes naar Londen: Dit willen jullie weten over Brexit,EU-leiders terughoudend over Brexit-uitstel en eisen duidelijkheid van VK,Britse regering wil Lagerhuis vrijdag weer laten stemmen over Brexit-deal,May wil opnieuw uitstel voor brexit en overleg met de oppositie,Brexit in blessuretijd na derde ‘No’ tegen Mays akkoord,Lagerhuis maakt zich op voor nog een ‘cruciale’ brexitstemming,Lagerhuis verwerpt brexitdeal voor derde keer,Gesprek May en Corbyn over softere Brexit constructief,Alternatieve opties brexit weggestemd,May overlegt met leiders van oppositiepartijen over Brexit-impasse,Vier alternatieve opties brexit weggestemd door Lagerhuis,Brits Lagerhuis stemt voor wet die no-deal Brexit uitsluit,May wil haast maken met brexitdeal met Labour,Rebellerend Lagerhuis neemt heft in handen,"De man die kiezers naar de Europese stembus moet lokken, is een Brit die inspiratie haalt uit de Brexit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
5089,Moeder mag na lange strijd toch VS in om stervend zoontje (2) laatste kus te geven,Moeder geeft stervend zoontje (2) na lange asielstrijd laatste knuffel in VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
163,Kruijswijk rijdt volgend jaar Tour de France en Vuelta a España,"Dumoulin roept Giro uit tot hoofddoel in 2019, maar rijdt ‘waarschijnlijk’ ook de Tour",Kruijswijk gaat voor de Tour en Vuelta: ‘Het podium is het doel’,Ploegleider Dumoulin: 'Data bevestigden onderbuikgevoel in keuze voor Giro',"Dumoulin treft in Midden-Oosten Froome, Valverde en Nibali",Simon Yates doet komend jaar mee aan Giro d'Italia,Froome: Dumoulin had roze kunnen grijpen,Thomas krijgt na diefstal nieuwe bokaal van Tour-directie,Dumoulin treft Yates en López weer in Giro,Dumoulin begint seizoen eind februari bij nieuwe koers in Emiraten,Vuelta 2019 telt zeven bergetappes en één individuele tijdrit,Pozzato (37) verlaat het wielerpeloton,Dennis sportman van het jaar in Australië,Ronde van Spanje telt in 2019 zeven bergetappes en vier heuvelritten,Witte trui in Vuelta ook voor beste jongere,Bestolen Thomas krijgt nieuwe Tour-trofee,Giro-parcours veranderde plannen Dumoulin volledig,Witte trui in Vuelta a España voortaan ook voor beste jongere,Quintana doet volgend jaar mee aan Tour de France en Vuelta a España,Movistar nog zeker drie jaar in wielerpeloton,Dumoulin rijdt in 2019 Giro d'Italia en waarschijnlijk ook Tour de France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
4253,Inwerkingtreding 'boerkaverbod' verplaatst naar augustus,Boerkaverbod gaat in op 1 augustus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4941,Wereldbank investeert 200 miljard in klimaatstrijd,Wereldbank steekt 200 miljard dollar in strijd tegen klimaatverandering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3647,Rechtspraak in zwaar weer: weinig geld en steeds zwaardere zaken,'Rechtspraak kan financiële problemen niet zelfstandig oplossen',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
294,STER komt over maand terug op Loeki-petitie,Loeki de Leeuw maakt vanavond comeback vlak voor het Journaal,Met succes op de barricaden voor comeback Loeki de Leeuw,‘Frekkel keert misschien terug’,‘Asjemenou!’ Loeki de Leeuw maakt vanavond comeback,Loeki de Leeuw woensdagavond kort terug op tv,Stembussen gesloten: wint Beau of Frekl de Gouden Loeki 2018?,STER heeft binnen een maand helderheid terugkeer Loeki,Loterijhondje Frekkel wint ‘Oscar voor reclame’,Loeki de Leeuw te zien als dj in comebackfilmpje,"Petitie voor Loeki de Leeuw slaat aan, STER denkt na over terugkeer",Asjemenou! Radio 2-dj's willen Loeki de Leeuw terug op tv,Op de barricaden voor Loeki,Loeki de Leeuw maakt tv-comeback met twee jaar oud YouTube-filmpje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
4068,Juliana weigerde zwemvest tijdens gevaarlijke bootreis naar Canada,Verborgen reisverslag ontdekt van gevaarlijke bootreis Juliana en piepjonge Beatrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1123,Trainer Keizer lijdt na zeven zeges eerste nederlaag met Sporting,"Marcel Keizer, een jaar na zijn ontslag, wél een prettige kerst",Bas Dost scoort bij Sporting na 17 passes,Keizer baalt na eerste nederlaag als coach Sporting van kloof met Porto,Keizer voor het eerst onderuit met Sporting Lissabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2958,Penélope Cruz en Cara Delevingne tonen laatste collectie Karl Lagerfeld,Modellen in tranen bij show laatste Chanel-collectie Karl Lagerfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1353,Ook Puma brengt zelfstrikkende smartschoen op de markt,Nike haalt schoen terug na klacht moslima,Nike onder vuur na klacht moslima dat ‘logo Allah beledigt’,Nike haalt schoen terug na klacht moslima dat ‘logo Allah beledigt’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1965,Joëlle slaapt amper in Zuid-Korea en Lil’ poseert in bloederige outfit,Oscar Kazàn doet babyboodschappen en Chantals alterego is kwaad,Dionne gesnapt in Carré en Lil’ poseert in bloederige outfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5308,Dodelijk geintje: 20 jaar cel voor Amerikaanse gamer na valse noodoproep,Amerikaanse staat Georgia neemt omstreden wet aan: abortus verboden bij hartslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2303,Boetes voor Arsenal en Spurs na hete derby begin deze maand,Alli haalt gram met goal na te zijn geraakt door plastic flesje,Tottenham schakelt Arsenal uit in League Cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2042,Gwen van Poorten en Paul Kemperman te gast in De Ochtend Show to go,Trucker Henk op zoek naar een serieuze vlam: ‘Het speelkwartier is voorbij’,"Gwen van Poorten: Toen Verena op Tinder zei dat ze trucker is, was het gelijk klaar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5127,Cypress Hill en Di-rect op Parkpop Saturday Night,"Ook Cypress Hill, DI-RECT en Triggerfinger op Parkpop Saturday Night",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1899,'Te weinig calcium in supplementen zwangere vrouwen',Zwangeren opgelet: er zit te weinig calcium in multivitaminepillen,Te weinig calcium in multivitaminen voor zwangeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1864,Stosur en Zhang winnen vrouwendubbel in Melbourne,Rolstoeltennisster De Groot wint enkel- en dubbeltitel op Australian Open,Rolstoeltennisster De Groot pakt ook titel in enkelspel Australian Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
422,Voormalig Toro Rosso-coureur Hartley wordt simulatorrijder Ferrari,Grand Prix Azerbeidzjan nog minimaal vier jaar op Formule 1-kalender,Verstappen benadrukt dat kracht RB15 nog moeilijk in te schatten is,Verstappen: Honda zet alles op alles om gat te dichten,Sauber in Formule 1 verder onder Alfa Romeo,Haas onthult wagens voor nieuwe seizoen Formule 1,Grand Prix van Bakoe nog tot 2023 op de F1-kalender,Formule 1-team Sauber gaat verder onder naam Alfa Romeo Racing,Hartley en Wehrlein gaan testen voor Ferrari,Red Bull onthult bolide Verstappen 13 februari,Haas presenteert als eerste team nieuwe auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
776,Maltese marine entert door migranten gekaapt hulpschip,Door migranten gekaapt schip aangekomen in Malta na verovering door marine,Europa pikt geen vluchtelingen meer op per schip van Middellandse zee,Vluchtelingen kapen schip na redding uit Middellandse Zee,Twijfels over door migranten 'gekaapt' schip: 'verhaal kapitein rammelt’,EU stopt met redden vluchtelingen Middellandse Zee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3655,AEX lager na omzetalarm Apple,Flinke minnen op Europese beurzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5936,Lady Gaga had in begin carrière vaak last van grensoverschrijdend gedrag,Mariah Carey vindt dat 'divarol bij haar hoort',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4407,"Alderweireld langer bij Spurs, interesse voor Bruma","Bologna slaat dubbelslag bij Villarreal, interesse voor Bruma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4799,Zwarte lijst van landen in strijd tegen belastingontwijking,21 landen op Nederlandse lijst van belastingparadijzen: de pot die de ketel verwijt?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,Van Gerwen eenvoudig naar kwartfinale van The Masters,Zo komt Temptation Island aan zijn deelnemers,Rutger ‘Angry Dutch Historian’ Bregman in één klap wereldberoemd met uithaal tegen superrijken,Anderson meldt zich met rugblessure af voor The Masters,Van Gerwen mag op voor vijfde Masters-titel op rij,Toppers Daan (5) en Teun (7) redden oma Ans: ‘Zo snel mogelijk 112 gebeld’,"Misschien ben ik een betweter, maar dít is de kant die RTL op moet","Gaan recruiters te ver? 'Mensen benaderen is oké, stalken niet'",Gezocht: een (trein)maatje voor jarige Aart,Interim-president Juan Guaidó: ‘Onze strijd zal snel uitmonden in herstel van onze vrijheid’,Zo maak je thuis een fijne werkplek,"Vader (30) mishandelt 3,5 week oude dochter, straf: therapie en 240 uur werkstraf",Jamai Loman en Chantal Janzen in nieuwe RTL-zangshow,"Cross gelijk uitgeschakeld, Wright en Smith wel verder op The Masters",Maand zonder alcohol: 'Na een emotionele avond schonk ik een likeurtje in',Zij stapten over naar een beroep waar ze staan te springen om mensen,Partners van kankerpatiënten worstelen evengoed met ziekte: ‘Ik ben nu meer verzorger dan partner’,Zo kom je als stressjunk of zelfsaboteur in actie tegen uitstelgedrag,Zo maakt fotograaf Pim Ras dé sportfoto,Weduwe Marloes (54) kreeg ineens gevoelens voor Barbara,Zo maak je korte metten met ‘spullenobesitas’,Daan (5) en Teun (7) redden oma Ans: ‘Zo snel mogelijk 112 gebeld’,'Zilveren' Brand in tranen na drie valpartijen op WK veldrijden,Van Barneveld vreest niet voor mislopen WK in afscheidsjaar,Anderson meldt zich wegens rugblessure af voor Premier League Darts,‘Dat is niets voor mij’ mag je pas zeggen nadat je iets hebt geprobeerd,Van Gerwen ten koste van Suljovic naar halve finales The Masters,"Duizendpoot, passie, marktconform: Waarom vacatures vol staan met clichés",Wat emoties en eetlust met elkaar te maken hebben,Roddeloverzicht: Crisis voor Patricia en Frenkies 'jetsetbestaan',"Fuat, Avik en Alain; onderaan de drugsladder vallen de slachtoffers",'Ook Japanners hebben Marie Kondo nodig',Paulusma zag gedwongen vertrek aankomen: ‘Werd nergens meer bij betrokken’,‘Ik wil leven in een wereld waarin de rijksten minder geld hebben om weg te geven’,Van Gerwen stoort zich aan 'geklaag' Anderson over rugblessure,Nina (19) uit Tilburg betaalt 167 euro voor een band die bijna niemand kent: 'Ik snap de heftige reacties heel goed’,Eén Nederlandse darter in top 16: 'We zitten in tussenperiode',‘Ik ben bang dat ik verliefd word op een vrouw’,Op een troosteloze dinsdagmiddag veranderde het leven van Arjan voorgoed,De Voogd verruilt Oranje-Rood voor Belgische competitie,Vallend ziet Brand goud uit zicht verdwijnen,Het Faalverhaal: De gescheurde broek van Joshua Livestro,"Je had het vast niet gedacht, maar dít is het beroep van de toekomst","‘Ik was haar knecht, ik werd geleefd door haar ziekte’",Van Gerwen: 'Steekt me weleens dat mensen mij arrogant noemen',Wie is de Mol?-terugblik Inge Ipenburg: 'Jamie speelt het spel te eerlijk',Alysha (21) raakte 83 kilo kwijt en wil nu anderen helpen afvallen,Van Gerwen begint goed aan jacht op vijfde eindzege op rij bij Masters,Superieure Van Gerwen grijpt vijfde Masters-titel op rij,"Deze browniebakkers nemen iedereen aan, ongeacht eerdere werkervaring of verleden",Van Gerwen via Chisnall naar vijfde finale op rij bij The Masters,Een beetje BN'er met culi-achtergrond heeft wel een eigen servies,Angela en Chantal ‘levend decor’ in Amerikaanse show The World's Best,De curieuze DWDD-uitzending over privacy in zeven fragmenten,Hier komt het eerste Somalisch-Amerikaanse Congreslid vandaan: ‘Little Mogadishu’ in Minneapolis,Vraag jezelf af: moet ik dit nú doen?,Niemand ontkomt aan het wakend oog van Nederlandse Reapers,Angela en Chantal in Amerikaanse show The World's Best,Ziek en zelfstandig: 'Zij betalen zodat ik thuis kan zitten',Van Gerwen denkt dat hij in het voordeel is op finaledag The Masters,‘Fijn om te weten dat ik niet onredelijk bezig ben als ik om meer salaris vraag’,Nicolette (48) kreeg bijna een boom op haar hoofd in het ziekenhuis,Uitzendkracht: weet je dat er budget voor scholing voor jou is?,Dit is waarom podcasts verslavender zijn dan de radio,Deze oud-sportverslaggever volgde zijn droom en is nu succesvol fitnessgoeroe,Traagheid is in de supermarché tot kunstvorm verheven,Van Gerwen denkt dat hij met Anderson dienst gaat uitmaken in darts,Van Gerwen vindt dat hij niet beste spel heeft laten zien op The Masters,Wat leven er toch intens zielige mensen in Nederland,"Ja, ik wil... maar ik kan niet: trouwen is voor Japanse jongeren een onbereikbaar ideaal","Het Bonnetje: 'Ik ben van snel en efficiënt, gewoon d'r in en d'r uit'","Van straat geplukt, opgepakt en geslagen: zo probeert Maduro de protesten tegen hem te stoppen",Wij zoeken een Samensteller sportvideo's,‘Ik vraag me af hoe vaak mijn collega’s naar de wc gaan om te vloeken’,Automobilisten pakken agent Jip aan na dodelijk ongeluk: ‘Er reed er zelfs een over m'n tenen’,"‘De kandidaat Nielson leverde me een naaistreek, maar ik vind hem als artiest top’","Huizenruil: Goedkoop op vakantie, terwijl iemand in jouw bed slaapt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
5455,Appelgroen huis verscheurt buurt Den Helder: ‘Ik vecht tot het eind’,"De woontrends voor 2019: Donkere kleuren, 70's-stoffen en exotische planten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5718,Belgische bruiloftsgast krijgt geen bier en steekt bruidegom in hals,Gast steekt bruidegom in België neer omdat hij geen bier meer kreeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1796,Zieke Caparrós stopt toch als trainer bij Sevilla,Caparrós stopt vanwege chronische leukemie als trainer Sevilla,Osasuna na twee jaar terug in La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1130,Massale walvissterfte Nieuw-Zeeland mogelijk veroorzaakt door warmere oceaan,Opnieuw walvissen aangespoeld op kust Nieuw-Zeeland,Opnieuw walvissen aangespoeld op kust Nieuw-Zeeland,Opnieuw tientallen dolfijnen aangespoeld in Nieuw-Zeeland,Massale walvisstrandingen in Nieuw-Zeeland mogelijk veroorzaakt door warmere oceaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
5624,Zwervende wolven langs oostgrens hebben het gemunt op schapen,Acht schapen eind februari in Overijssel door wolf doodgebeten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2592,Kans op het overleven van een hartaanval is steeds groter,Kans om hartaandoening of beroerte te overleven groter geworden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
423,Wat regelen de Provinciale Staten eigenlijk?,'Rotterdamse haven bereidt zich voor op harde Brexit',In de auto met Eus: 'Witte journalisten op piemels getrapt om programma',Zo ging NU.nl om met geruchten aanslag Utrecht,Vijf jaar na de annexatie van De Krim: 'Het conflict is gewapende wapenstilstand','Verkiezingen beloven weinig goeds voor gevestigde orde',Wat weten we over de hoofdverdachte van de aanslag in Utrecht?,'Tonijn bijna altijd fout gevangen en is dan ook niet duurzaam','Betere start met Honda had Verstappen niet kunnen wensen','Verstappen gemotiveerder en sterker dan ooit','Het Oekraïneconflict is bevroren en blijft dat nog wel een tijdje',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
3858,Chinese bende smokkelde dure goederen met kabelbaan tussen gebouwen,Leger lanceert drones met raketten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4062,Radu Albot zorgt voor Moldavische primeur,Isner strandt vlak voor finale Delray Beach tegen Engelse qualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5677,Toch chroom-6-schadevergoeding voor oud-militair,Oud-militair krijgt alsnog vergoeding vanwege blootstelling aan chroom-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
